text,Sentiment,Score
b'\\xbfC\\xf3mo eran #HanSolo y Lando antes de unirse en la rebeli\\xf3n contra el imperio? \\xa1Desc\\xfabrelo en tu cine favorito! https://t.co/gYhU0Lft4f',netural,0.0
b'RT @starwars: Blast off for the biggest ride of the summer. Solo: A #StarWars Story is now playing. Get tickets: https://t.co/hNx4uSWepN #H\\u2026',negative,-0.01102311955453063
b'La m\\xe1s veloz y hermosa de la galaxia. #HanSolo: Una Historia de #StarWars \\xa1Ya puedes disfrutarlo en tu cine favorit\\u2026 https://t.co/MXO7cFxfZO',netural,0.0
"b'RT @starwars: ""It\'s Han, actually."" Tell us your favorite moment from Solo: A #StarWars Story. See it again this weekend: https://t.co/hNx4\\u2026'",positive,0.029203416063235357
b'6. #TheForceAwakens may be a total retelling of #ANewHope. But it\\u2019s still decent. And the retelling has its purpose\\u2026 https://t.co/qYw2wJ4WlD',positive,0.05251736111111111
b'RT @starwars: Blast off for the biggest ride of the summer. Solo: A\\nStar Wars Story is now playing. See it in @IMAX. #HanSolo',negative,-0.00378370817218508
b'#TGTB Listen to @Matt_M_over9000 &amp; Tristan talk #StarWars #Ewoks #BattleofEndor in #StarWarsWednesday ep\\u2026 https://t.co/BittD4eKeD',positive,0.008167613636363636
b'\\U0001f534\\U0001f399\\ufe0f[PODCAST] Les Myst\\xe9rieux \\xe9tonnants #550 - Solo: A Star Wars Story https://t.co/zGyrGmrgaD \\n\\n#StarWars #HanSolo\\u2026 https://t.co/JbG3cDQbna',positive,0.0021158854166666665
"b'RT @starwars: \\u201cCongratulations, you\\u2019re liberated.\\u201d Tell us your favorite moment from Solo: A #StarWars Story. See it again this weekend: ht\\u2026'",positive,0.02146603625554305
b'RT @CanonChronicler: Great point brought up in the latest @FullOfSith episode:\\n\\nLady Proxima takes in and uses RUNAWAYS. It seems implied t\\u2026',positive,0.010371398863901505
b'@starwars @RealRonHoward #SoloStarWars #hansolo #Chewbacca just 3 hours until I get to see this badass movie AGAIN',positive,0.0019292846322059632
b'RT @Cosas_Felices: Un #SORTEO espacial. ACABA PRONTO\\nPor el estreno de #HanSolo regalamos los Pops de Chewie y Han \\xbfC\\xf3mo participar?\\n- Foll\\u2026',positive,0.01171875
b'RT @Cosas_Felices: Un #SORTEO espacial. ACABA PRONTO\\nPor el estreno de #HanSolo regalamos los Pops de Chewie y Han \\xbfC\\xf3mo participar?\\n- Foll\\u2026',positive,0.01171875
b'RT @Cosas_Felices: Un #SORTEO espacial. ACABA PRONTO\\nPor el estreno de #HanSolo regalamos los Pops de Chewie y Han \\xbfC\\xf3mo participar?\\n- Foll\\u2026',positive,0.01171875
"b'RT @EugenioDerbez: Este fin de semana le echamos mont\\xf3n a #HanSolo, y le ganamos en su estreno. \\n\\xa1Gracias a todos los que fueron al cine! h\\u2026'",negative,-0.019736842105263157
b'RT @RespectGroup: https://t.co/QO1s0RKVcu #news #work #workplace #harassment',negative,-0.03627232142857143
"b""I'm positive Nova Scotia has the best Craft Beer, another opening in July #VisitNovaScotia #drinklocal #CraftBeer\\u2026 https://t.co/XVzYNyC65l""",positive,0.082855224609375
b'RT @grahamcmackenzi: Nova Scotia #Pharmacist pulls evidence free #homeopathic products from shelves as educational campaign https://t.co/re\\u2026',positive,0.006487165178571429
b'Bridgewater shortlisted for $5M Smart Cities grant - https://t.co/CpKV9dYSQg https://t.co/xxpHW6E6BB https://t.co/gA37njcW4C',negative,-0.0087890625
b'Construction Links Network News: Province of Nova Scotia takes 2 historic buildings off the market -\\u2026 https://t.co/5unzsVzTj0',positive,0.014649073205527921
b'Cape Breton pharmacy pulls homeopathic products from shelves | CBC News https://t.co/dAHCzKXvqL',positive,0.00322265625
"b'O Canada, Here We Come\\u2026We\\u2019re pleased to announce that from British Columbia to Nova Scotia, and everything in betwe\\u2026 https://t.co/kFFhEkApyZ'",positive,0.028409090909090908
"b""Why Chinese house hunters are increasingly drawn to Halifax. 'It\\u2019s a beautiful city. You just don\\u2019t want to move aw\\u2026 https://t.co/MsQwAu3J1z""",positive,0.057703656454881035
"b""@gluegun000 @CNN A beautiful place PEI. I'm actually in Nova Scotia today, so not too far from there. Nice to be ba\\u2026 https://t.co/bPBfmnYHCs""",positive,0.06190006549541767
b'Good. Hope more pharmacies follow! Cape Breton pharmacy pulls homeopathic products from shelves  https://t.co/bavQ8vICxD',positive,0.05956658845146497
"b'Nova Scotia, June 5th. \\U0001f644 https://t.co/ayqDNJeJZ7'",netural,0.0
b'@channingtatum @MagicMikeLDN @channingtatum come to Nova Scotia\\u2693\\u2764\\u2693',negative,-0.010416666666666666
b'RT @KarenDaniel40: @alyankovic Ever come to Nova Scotia?',negative,-0.010416666666666666
b'RT @DanMacCTV: The frosty nights of June have created a chill in the Nova Scotia wine industry. More @CTVAtlantic at 6 https://t.co/m5e7VIo\\u2026',negative,-0.04957932692307692
b'RT @CBCNS: Sydney parent fighting decision to remove library technicians https://t.co/DZhRyJDRMk https://t.co/v3XukBqV9l',positive,0.003817471590909091
b'@Windows Can you turn off auto updates? I\\u2019m on that fortnite grind',negative,-0.0625
b'@Windows Wow this is a surprise. No my pc keeps trying to update before it launches. Only it fails to update every time it tries.',negative,-0.006155967712402344
"b'RT @Windows: .@ASUS had a busy day at #Computex2018, showing new ZenBooks, VivoBooks, and #ROG gaming PCs. See the details here: https://t.\\u2026'",positive,0.0354427108541131
